Nádraží Podbaba,50.1112299,14.3940586,
Nádraží Strašnice,50.0680584,14.4931542,
Nádraží Veleslavín,50.0957975,14.3469212,
Nádraží Vršovice,50.0660499,14.4480673,
Nádraží Vysočany,50.1102270,14.4988931,
Nákladové nádraží Žižkov,50.0841885,14.4697299,
Náměstí Bratří Synků,50.0648987,14.4413432,
Náměstí Míru,50.0749612,14.4365057,
Náměstí Republiky,50.0886847,14.4297043,
Národní divadlo,50.0824041,14.4131180,
Národní třída,50.0815704,14.4194919,
Nové Strašnice,50.0775757,14.5056355,
Novoměstská radnice,50.0775136,14.4195332,
Nový Hloubětín,50.1093198,14.5280840,
Nuselská radnice,50.0628292,14.4422542,
Nuselské schody,50.0682113,14.4348483,
Obchodní centrum Hostivař,50.0539015,14.5189379,
Obora Hvězda,50.0782152,14.3411573,
Ocelářská,50.1035111,14.4884026,
Ohrada,50.0906384,14.4696676,
Okrouhlická,50.119771,14.459914,
Olšanská,50.0834881,14.4653324,
Olšanské hřbitovy,50.0781284,14.4669121,
Olšanské náměstí,50.0824918,14.4578366,
Orionka,50.0755168,14.4588460,
Ortenovo náměstí,50.1077620,14.4474565,
Ořechovka,50.0928725,14.3787270,
Ostrčilovo náměstí,50.0650023,14.4252574,
Otakarova,50.0655457,14.4403578,
Palackého náměstí,50.0732615,14.4149076,
Palmovka,50.1034921,14.4720034,
Palouček,50.0616297,14.4374395,
Perunova,50.0754088,14.4540157,
Petřiny,50.0881390,14.3445802,
Plynárna Michle,50.0565384,14.4649449,
Plzeňka,50.0641609,14.4085432,
Pobřežní cesta,50.0341349,14.4074826,
Pod Jezerkou,50.0583602,14.4499685,
Pod Karlovem,50.0686052,14.4326826,
Podkovářská,50.1029372,14.5137180,
Podolská vodárna,50.0598925,14.4193403,
Pohořelec,50.0879398,14.3881531,
Poliklinika Barrandov,50.0340215,14.3744455,
Poliklinika Modřany,50.0045885,14.4188104,
Poliklinika Vysočany,50.1089136,14.4948308,
Poštovka,50.0685239,14.3539583,
Poštovská,50.1105735,14.5091103,
Prašný most,50.0947064,14.3939299,
Právnická fakulta,50.0919050,14.4177969,
Pražská tržnice,50.0983010,14.4442095,
Pražského povstání,50.0551215,14.4359461,
Pražský hrad,50.0933470,14.3985751,
Průběžná,50.0715916,14.4862305,
Přístaviště,50.0403209,14.4095991,
Radhošťská,50.0776332,14.4577552,
Radlická,50.0589869,14.3894412,
Radošovická,50.0669668,14.4948495,
Ruská,50.0714608,14.4512415,
Říčanova,50.0813061,14.3527690,
Sibeliova,50.0928537,14.3836425,
Sídliště Barrandov,50.0314875,14.3685816,
Sídliště Červený Vrch,50.0979941,14.3591278,
Sídliště Ďáblice,50.1327346,14.4804096,
Sídliště Hloubětín,50.1065051,14.5426432,
Sídliště Modřany,50.0051896,14.4326375,
Sídliště Petřiny,50.0869978,14.3398014,
Sídliště Řepy,50.065439,14.298031,
Sídliště Zahradní Město,50.0568001,14.5132962,
Slánská,50.0645013,14.3093574,
Slavia,50.0695245,14.4707851,
Smíchovské nádraží,50.0612153,14.4092491,
Solidarita,50.0768578,14.4946151,
Sparta,50.0989388,14.4161345,
Spojovací,50.0917889,14.4987671,
Spořilov,50.0509204,14.4821941,
Staroměstská,50.0884039,14.4154588,
Starý Hloubětín,50.1048493,14.5293430,
Stejskalova,50.1094440,14.4723270,
Strašnická,50.0727151,14.4906776,
Strážní,50.0922047,14.4808358,
Strossmayerovo náměstí,50.0988414,14.4337759,
Střelničná,50.1258477,14.4594956,
Svatoplukova,50.0650501,14.4295297,
Škola Radlice,50.0594503,14.3930897,
Špejchar,50.0975304,14.4096717,
Špitálská,50.1109362,14.5053395,
Štěpánská,50.0756445,14.4227736,
Štěpničná,50.1281492,14.4781049,
Šumavská,50.0753374,14.4432083,
Švandovo divadlo,50.0783953,14.4041323,
Teplárna Michle,50.0528572,14.4746532,
Těšnov,50.0916546,14.4365404,
Thákurova,50.1001108,14.3866269,
Trojská,50.1163757,14.4331732,
Třebenická,50.1296983,14.4808403,
Tusarova,50.1008196,14.4500681,
U Elektry,50.1034989,14.5193197,
U Kaštanu,50.0836318,14.3628489,
U Kříže,50.1125428,14.4758553,
U Libušského potoka,50.0055624,14.4231251,
U Průhonu,50.1047821,14.4499200,
U Zvonu,50.0716010,14.3874296,
Újezd,50.0805291,14.4046029,
Urxova,50.0951474,14.4564078,
Ústřední dílny DP,50.0746562,14.5325541,
Václavské náměstí,50.0819220,14.4256232,
Veletržní palác,50.1014946,14.4331385,
Větrník,50.0900268,14.3520898,
