Albertov,50.068683,14.420451,
Arbesovo námìstí,50.076249,14.4042,
Balabenka,50.104234,14.482919,
Baterie,50.092201,14.368664,
Belárie,50.012962,14.401795,
Bertramka,50.072239,14.392434,
Bílá Hora,50.075861,14.323386,
Bílá labu,50.090352,14.436261,
Biskupcova,50.089099,14.468634,
Blatiny,50.065803,14.302096,
Bohemians,50.066468,14.456393,
Botanická zahrada,50.071052,14.418921,
Braunova,50.061744,14.4012,
Bruselská,50.0730064,14.4332619,
Brusnice,50.093002,14.391258,
Bøevnovskı klášter,50.083231,14.358561,
Bøezinìveská,50.126025,14.457123,
Bulovka,50.116545,14.46776,
Èechova ètvr,50.002202,14.410581,
Èechovo námìstí,50.068172,14.459035,
Èechùv most,50.094049,14.416889,
Èernokostelecká,50.077821,14.511353,
Èernı kùò,50.022517,14.403527,
Èervenı vrch,50.0969758,14.3534189,
ÈSAD Smíchov,50.054131,14.408949,
Dìlnická,50.102633,14.450038,
Divadlo Gong,50.106541,14.488087,
Divadlo Na Fidlovaèce,50.064646,14.437132,
Divadlo pod Palmovkou,50.10566,14.472751,
Divoká Šárka,50.092725,14.325684,
Dlouhá tøída,50.090539,14.427899,
Drinopol,50.083968,14.371602,
Dubeèská,50.065221,14.502826,
Dvorce,50.047183,14.413952,
Geologická,50.036512,14.388428,
Hadovka,50.099425,14.375172,
Hellichova,50.084185,14.404471,
Hercovka,50.122074,14.451223,
Hládkov,50.090086,14.385859,
Hluboèepy,50.042167,14.404386,
Hlušièkova,50.063713,14.315657,
Horky,50.061877,14.445516,
Hostivaøská,50.052669,14.530379,
Hotel Golf,50.068031,14.346666,
Husinecká,50.085092,14.444493,
Chaplinovo námìstí,50.035179,14.377219,
Chmelnice,50.09249,14.485837,
Chodovská,50.056857,14.469198,
Chotkovy sady,50.095306,14.40902,
Italská,50.078444,14.435459,
Jana Masaryka,50.073512,14.440681,
Jindøišská,50.085322,14.430783,
Jiráskovo námìstí,50.076145,14.413999,
K Barrandovu,50.035081,14.382726,
Kabešova,50.102464,14.50827,
Kamenická,50.099709,14.428566,
Karlínské námìstí,50.092781,14.44613,
Karlovy láznì,50.084571,14.413465,
Kavalírka,50.070122,14.371092,
Kbelská,50.105253,14.532907,
Ke Stírce,50.122987,14.456152,
Klamovka,50.070583,14.379141,
Knìská luka,50.09215,14.492481,
Koh-i-noor,50.067691,14.462253,
Korunovaèní,50.099704,14.42058,
Kotláøka,50.069853,14.363592,
Královskı letohrádek,50.094229,14.404997,
Krejcárek,50.095083,14.474851,
Krematorium Motol,50.065933,14.325691,
Krematorium Strašnice,50.077321,14.484719,
Krymská,50.071981,14.446994,
Køíová,50.062965,14.404674,
Kubánské námìstí,50.070717,14.476858,
Kublov,50.054532,14.418072,
Kyselova,50.126136,14.46392,
Laurová,50.061134,14.397359,
Lazarská,50.079068,14.42101,
Lehovec,50.106817,14.54798,
Letenské námìstí,50.100001,14.423117,
Levského,50.005122,14.43608,
Libeòskı most,50.103452,14.464878,
Líbeznická,50.128727,14.455544,
Lihovar,50.051088,14.409176,
Lipanská,50.083918,14.45371,
Lotyšská,50.104179,14.395031,
Malešická továrna,50.077183,14.525236,
Malostranské námìstí,50.088271,14.404479,
Malovanka,50.085531,14.381647,
Malı Bøevnov,50.076357,14.333612,
Maniny,50.103348,14.452656,
Marjánka,50.084537,14.375492,
Mezi høbitovy,50.0821192,14.4716494,
Michelská,50.055041,14.4541,
Modøanská rokle,50.006062,14.429722,
Modøanská škola,50.008429,14.403113,
Moráò,50.074023,14.41873,
Motol,50.067716,14.335684,
Multiaréna Praha,50.103102,14.493352,
Myslíkova,50.077965,14.417949,
Na Groši,50.052907,14.523769,
Na Homoli,50.076139,14.530668,
Na hroudì,50.0703236,14.4889175,
Na padesátém,50.0642842,14.5044522,
Na pískách,50.0990314,14.3699489,
Na Veselí,50.056809,14.441463,
Nábøeí kapitána Jaroše,50.0962939,14.4313575,
Nad Dbánem,50.093946,14.336718,
Nad Primaskou,50.074945,14.489984,
Nad Trojou,50.120331,14.438881,
Nademlejnská,50.10383,14.524174,
Nádraí Braník,50.028765,14.404719,
Nádraí Hostivaø,50.053243,14.537438,
Nádraí Libeò,50.102112,14.502189,
Nádraí Modøany,50.003939,14.40337,
Nádraí Podbaba,50.111931,14.394121,
Nádraí Strašnice,50.068003,14.493203,
Nádraí Vršovice,50.065995,14.448457,
Nákladové nádraí ikov,50.084185,14.469826,
Námìstí bratøí Synkù,50.0645506,14.4410208,
Národní divadlo,50.081414,14.414885,
Nové Strašnice,50.077601,14.505915,
Novomìstská radnice,50.077457,14.419521,
Novı Hloubìtín,50.109292,14.528076,
Nuselská radnice,50.062861,14.440801,
Nuselské schody,50.068202,14.435575,
Obchodní centrum Hostivaø,50.053871,14.518918,
Obora Hvìzda,50.077957,14.339939,
Oceláøská,50.103649,14.488071,
Ohrada,50.090592,14.469092,
Okrouhlická,50.119771,14.459914,
Olšanská,50.083478,14.465397,
Olšanské høbitovy,50.078142,14.466455,
Olšanské námìstí,50.08249,14.457466,
Orionka,50.075617,14.459494,
Ortenovo námìstí,50.107611,14.448572,
Oøechovka,50.092909,14.378668,
Ostrèilovo námìstí,50.06507,14.424357,
Otakarova,50.065665,14.44085,
Palouèek,50.061125,14.436818,
Perunova,50.07549,14.45465,
Plynárna Michle,50.05652,14.46523,
Plzeòka,50.063464,14.408718,
Pobøení cesta,50.033604,14.407941,
Pod Jezerkou,50.058924,14.449731,
